Novogene-Sample,Steer-ID,Period,Hour,Treatment,Sample-Type,Breed
C1,ID3496,P3,H0,RPC15,Rumen,Holstein
C10,ID818,P4,H18,RPC5,Rumen,Angus
C100,ID814,P3,H18,RPC5,Rumen,Angus
C101,ID3500,P3,H18,Control,Rumen,Holstein
C102,ID816,P3,H18,RPC15,Rumen,Angus
C103,ID3496,P3,H18,RPC15,Rumen,Holstein
C104,ID3495,P3,H18,RPC5,Rumen,Holstein
C105,ID808,P3,H18,Control,Rumen,Angus
C106,ID3500,P3,H6,Control,Rumen,Holstein
C107,ID3496,P3,H12,RPC15,Rumen,Holstein
C108,ID818,P3,H12,RPC10,Rumen,Angus
C109,ID3501,P3,H12,RPC10,Rumen,Holstein
C11,ID814,P1,H6,Control,Rumen,Angus
C110,ID3500,P3,H12,Control,Rumen,Holstein
C111,ID816,P3,H12,RPC15,Rumen,Angus
C112,ID3495,P3,H12,RPC5,Rumen,Holstein
C113,ID808,P3,H6,Control,Rumen,Angus
C114,ID808,P3,H12,Control,Rumen,Angus
C115,ID3501,P3,H6,RPC10,Rumen,Holstein
C116,ID3495,P3,H6,RPC5,Rumen,Holstein
C117,ID818,P3,H6,RPC10,Rumen,Angus
C118,ID3496,P3,H6,RPC15,Rumen,Holstein
C119,ID816,P3,H6,RPC15,Rumen,Angus
C12,ID818,P4,H12,RPC5,Rumen,Angus
C120,ID814,P3,H6,RPC5,Rumen,Angus
C121,ID814,P3,H12,RPC5,Rumen,Angus
C122,ID814,P1,H18,Control,Rumen,Angus
C123,ID3501,P1,H6,RPC15,Rumen,Holstein
C124,ID3500,P1,H6,RPC5,Rumen,Holstein
C125,ID3496,P1,H6,RPC10,Rumen,Holstein
C126,ID816,P1,H6,RPC10,Rumen,Angus
C127,ID3496,P4,H2,Control,Rumen,Holstein
C128,ID3495,P1,H6,Control,Rumen,Holstein
C129,ID808,P4,H6,RPC10,Rumen,Angus
C13,ID818,P2,H12,Control,Rumen,Angus
C130,ID814,P4,H6,RPC15,Rumen,Angus
C131,ID3500,P4,H6,RPC10,Rumen,Holstein
C132,PosControl,DNA,,,Control,
C133,PosControl,PCR,,,Control,
C134,NegControl,,,,Control,
C135,ID3501,P4,H6,RPC5,Rumen,Holstein
C136,ID818,P4,H6,RPC5,Rumen,Angus
C137,ID3501,P4,H2,RPC5,Rumen,Holstein
C138,ID3495,P4,H2,RPC15,Rumen,Holstein
C139,ID818,P4,H2,RPC5,Rumen,Angus
C14,ID816,P2,H12,RPC5,Rumen,Angus
C140,ID3500,P4,H2,RPC10,Rumen,Holstein
C141,ID3500,P3,H2,Control,Rumen,Holstein
C142,ID818,P3,H2,RPC10,Rumen,Angus
C143,ID3495,P4,H18,RPC15,Rumen,Holstein
C144,ID3495,P3,H0,RPC5,Rumen,Holstein
C145,ID816,P4,H18,Control,Rumen,Angus
C146,ID808,P4,H18,RPC10,Rumen,Angus
C147,ID3500,P4,H18,RPC10,Rumen,Holstein
C148,ID814,P4,H18,RPC15,Rumen,Angus
C149,ID3501,P3,H2,RPC10,Rumen,Holstein
C15,ID3501,P4,H18,RPC5,Rumen,Holstein
C150,ID808,P4,H0,RPC10,Rumen,Angus
C151,ID3495,P2,H0,RPC10,Rumen,Holstein
C152,ID818,P2,H0,Control,Rumen,Angus
C153,ID816,P4,H0,Control,Rumen,Angus
C154,ID3500,P2,H0,RPC15,Rumen,Holstein
C155,ID3495,P4,H0,RPC15,Rumen,Holstein
C156,ID818,P4,H0,RPC5,Rumen,Angus
C157,ID3501,P2,H0,Control,Rumen,Holstein
C158,ID816,P2,H0,RPC5,Rumen,Angus
C159,ID808,P2,H0,RPC15,Rumen,Angus
C16,ID808,P2,H2,RPC15,Rumen,Angus
C160,ID3496,P2,H0,RPC5,Rumen,Holstein
C161,ID3501,P4,H0,RPC5,Rumen,Holstein
C162,ID3500,P4,H0,RPC10,Rumen,Holstein
C163,ID3496,P4,H0,Control,Rumen,Holstein
C164,ID814,P4,H0,RPC15,Rumen,Angus
C165,ID816,P2,H6,RPC5,Rumen,Angus
C166,ID808,P1,H6,RPC5,Rumen,Angus
C167,ID3495,P1,,Control,Fecal,Holstein
C168,ID3501,P2,,Control,Fecal,Holstein
C169,ID3500,P3,,Control,Fecal,Holstein
C17,ID3501,P2,H12,Control,Rumen,Holstein
C170,ID3496,P4,,Control,Fecal,Holstein
C171,PosControl,,,,Control,
C172,ID3500,P1,,RPC5,Fecal,Holstein
C173,ID3496,P2,,RPC5,Fecal,Holstein
C174,ID3495,P3,,RPC5,Fecal,Holstein
C175,ID3501,P4,,RPC5,Fecal,Holstein
C176,NegControl,,,,Control,
C177,ID3496,P1,,RPC10,Fecal,Holstein
C178,ID3495,P2,,RPC10,Fecal,Holstein
C179,ID3501,P3,,RPC10,Fecal,Holstein
C18,ID3500,P4,H12,RPC10,Rumen,Holstein
C180,ID3500,P4,,RPC10,Fecal,Holstein
C182,ID3501,P1,,RPC15,Fecal,Holstein
C183,ID3500,P2,,RPC15,Fecal,Holstein
C184,ID3496,P3,,RPC15,Fecal,Holstein
C185,ID3495,P4,,RPC15,Fecal,Holstein
C187,ID814,P1,,Control,Fecal,Angus
C188,ID818,P2,,Control,Fecal,Angus
C189,ID808,P3,,Control,Fecal,Angus
C19,ID3501,P4,H12,RPC5,Rumen,Holstein
C190,ID816,P4,,Control,Fecal,Angus
C192,ID808,P1,,RPC5,Fecal,Angus
C193,ID816,P2,,RPC5,Fecal,Angus
C194,ID814,P3,,RPC5,Fecal,Angus
C195,ID818,P4,,RPC5,Fecal,Angus
C197,ID816,P1,,RPC10,Fecal,Angus
C198,ID814,P2,,RPC10,Fecal,Angus
C199,ID818,P3,,RPC10,Fecal,Angus
C2,ID3501,P1,H2,RPC15,Rumen,Holstein
C20,ID3496,P4,H12,Control,Rumen,Holstein
C200,ID808,P4,,RPC10,Fecal,Angus
C201,PosControl,DNA,,,Control,
C203,ID808,P2,,RPC15,Fecal,Angus
C204,ID816,P3,,RPC15,Fecal,Angus
C205,ID814,P4,,RPC15,Fecal,Angus
C206,NegControl,,,,Control,
C207,PosControl,PCR,,,Control,
C21,ID816,P4,H12,Control,Rumen,Angus
C22,ID814,P4,H12,RPC15,Rumen,Angus
C23,ID3496,P4,H18,Control,Rumen,Holstein
C24,ID3496,P1,H0,RPC10,Rumen,Holstein
C25,ID3496,P1,H18,RPC10,Rumen,Holstein
C26,ID818,P1,H0,RPC15,Rumen,Angus
C27,ID814,P1,H2,Control,Rumen,Angus
C28,ID3495,P1,H2,Control,Rumen,Holstein
C29,ID814,P1,H12,Control,Rumen,Angus
C3,ID816,P3,H0,RPC15,Rumen,Angus
C30,ID818,P1,H2,RPC15,Rumen,Angus
C31,ID3500,P1,H2,RPC5,Rumen,Holstein
C32,ID816,P1,H2,RPC10,Rumen,Angus
C33,ID3501,P1,H18,RPC15,Rumen,Holstein
C34,ID3501,P1,H12,RPC15,Rumen,Holstein
C35,ID808,P1,H12,RPC5,Rumen,Angus
C36,ID3500,P1,H18,RPC5,Rumen,Holstein
C37,ID818,P1,H12,RPC15,Rumen,Angus
C38,PosControl,DNA,,,Control,
C39,PosControl,PCR,,,Control,
C4,ID3500,P2,H12,RPC15,Rumen,Holstein
C40,NegControl,,,,Control,
C41,ID3495,P1,H18,Control,Rumen,Holstein
C42,ID814,P1,H0,Control,Rumen,Angus
C43,ID3496,P1,H2,RPC10,Rumen,Holstein
C44,ID808,P1,H0,RPC5,Rumen,Angus
C45,ID3500,P1,H0,RPC5,Rumen,Holstein
C46,ID816,P1,H12,RPC10,Rumen,Angus
C47,ID3495,P1,H0,Control,Rumen,Holstein
C48,ID816,P1,H0,RPC10,Rumen,Angus
C49,ID816,P1,H18,RPC10,Rumen,Angus
C5,ID814,P3,H0,RPC5,Rumen,Angus
C50,ID3500,P3,H0,Control,Rumen,Holstein
C51,ID808,P1,H2,RPC5,Rumen,Angus
C52,ID808,P1,H18,RPC5,Rumen,Angus
C53,ID3501,P1,H0,RPC15,Rumen,Holstein
C54,ID3496,P1,H12,RPC10,Rumen,Holstein
C55,ID818,P1,H18,RPC15,Rumen,Angus
C56,ID818,P1,H6,RPC15,Rumen,Angus
C57,ID3500,P1,H12,RPC5,Rumen,Holstein
C58,ID3495,P1,H12,Control,Rumen,Holstein
C59,ID3496,P4,H6,Control,Rumen,Holstein
C6,ID818,P3,H0,RPC10,Rumen,Angus
C60,ID3495,P4,H6,RPC15,Rumen,Holstein
C61,ID814,P4,H2,RPC15,Rumen,Angus
C62,ID816,P4,H2,Control,Rumen,Angus
C63,ID814,P2,H12,RPC10,Rumen,Angus
C64,ID808,P4,H12,RPC10,Rumen,Angus
C65,ID816,P4,H6,Control,Rumen,Angus
C66,ID3495,P4,H12,RPC15,Rumen,Holstein
C67,ID808,P4,H2,RPC10,Rumen,Angus
C68,ID808,P3,H0,Control,Rumen,Angus
C69,ID3501,P3,H0,RPC10,Rumen,Holstein
C7,ID3495,P2,H12,RPC10,Rumen,Holstein
C70,ID3496,P3,H2,RPC15,Rumen,Holstein
C71,ID3495,P3,H2,RPC5,Rumen,Holstein
C72,ID814,P3,H2,RPC5,Rumen,Angus
C73,ID816,P3,H2,RPC15,Rumen,Angus
C74,ID808,P3,H2,Control,Rumen,Angus
C75,ID816,P2,H2,RPC5,Rumen,Angus
C76,ID818,P2,H18,Control,Rumen,Angus
C77,ID3501,P2,H18,Control,Rumen,Holstein
C78,ID3495,P2,H6,RPC10,Rumen,Holstein
C79,ID814,P2,H0,RPC10,Rumen,Angus
C8,ID808,P2,H12,RPC15,Rumen,Angus
C80,ID3496,P2,H2,RPC5,Rumen,Holstein
C81,ID818,P2,H2,Control,Rumen,Angus
C82,ID3501,P2,H6,Control,Rumen,Holstein
C83,ID808,P2,H6,RPC15,Rumen,Angus
C84,ID816,P2,H18,RPC5,Rumen,Angus
C85,ID814,P2,H18,RPC10,Rumen,Angus
C86,ID3500,P2,H18,RPC15,Rumen,Holstein
C87,ID3496,P2,H18,RPC5,Rumen,Holstein
C88,ID814,P2,H2,RPC10,Rumen,Angus
C89,ID3500,P2,H2,RPC15,Rumen,Holstein
C9,ID3496,P2,H12,RPC5,Rumen,Holstein
C90,ID814,P2,H6,RPC10,Rumen,Angus
C91,ID818,P2,H6,Control,Rumen,Angus
C92,ID3500,P2,H6,RPC15,Rumen,Holstein
C93,ID3496,P2,H6,RPC5,Rumen,Holstein
C94,ID3495,P2,H18,RPC10,Rumen,Holstein
C95,ID808,P2,H18,RPC15,Rumen,Angus
C96,ID3501,P2,H2,Control,Rumen,Holstein
C97,ID3495,P2,H2,RPC10,Rumen,Holstein
C98,ID818,P3,H18,RPC10,Rumen,Angus
C99,ID3501,P3,H18,RPC10,Rumen,Holstein